Date,Open,High,Low,Close,Volume
01/31/2023,"31.22","32.46","31.22","32.42","89,283"
01/30/2023,"31.14","31.35","30.68","31.10","63,426"
01/27/2023,"31.41","31.67","31.19","31.29","39,754"
01/26/2023,"31.00","31.53","30.70","31.49","48,032"
01/25/2023,"30.70","30.85","30.34","30.85","47,721"
01/24/2023,"31.73","31.73","30.71","30.85","98,668"
01/23/2023,"30.72","31.23","30.37","30.65","68,057"
01/20/2023,"30.61","30.77","30.11","30.57","63,509"
01/19/2023,"29.76","30.48","29.51","30.37","52,384"
01/18/2023,"30.76","30.90","30.06","30.11","53,969"
01/17/2023,"30.33","31.24","30.33","30.56","77,564"
01/13/2023,"30.08","30.44","29.80","30.27","74,651"
01/12/2023,"30.72","30.72","30.06","30.21","68,553"
01/11/2023,"30.33","30.75","30.06","30.36","58,068"
01/10/2023,"29.00","30.29","29.00","30.23","62,807"
01/09/2023,"30.09","30.32","29.25","29.27","82,537"
01/06/2023,"29.26","30.30","29.08","30.03","67,423"
01/05/2023,"29.07","29.15","28.35","28.94","139,026"
01/04/2023,"28.72","29.33","28.56","29.13","82,728"
01/03/2023,"27.60","28.62","27.60","28.56","161,646"
